shot,flat_top_start,flat_top_end
26386,0.22810027,1.78800023
29511,0.348100275,1.34800029
30043,0.348100275,1.55200028
30197,0.348100275,1.55200028
30225,0.268100262,0.613200068
30262,0.348100275,1.55200028
30268,0.348100275,1.55200028
30290,0.268100262,1.1650002
30310,0.308100253,0.957000136
31211,0.348100275,0.628000081
31554,0.348100275,0.586000085
31650,0.600000262,1.59200025
31718,0.348100275,1.55200028
31807,0.348100275,0.685400069
31839,0.348100275,1.81200027
32191,0.22810027,0.521600068
32195,0.22810027,0.843000114
32592,0.388100266,1.38810027
32716,0.38800028,0.714600086
32911,0.268100262,1.17100012
33188,0.188100263,0.549800098
33271,0.22810027,1.94800031
33281,0.22810027,1.91600025
33459,0.320000261,1.32010031
33567,0.22810027,1.91600025
33942,0.22310026,0.602600038
34010,0.223099306,0.422400087
34309,0.228099316,1.78799927
42197,0.400099307,1.20359933
42514,0.320099324,1.11999929
43454,0.280099303,1.59999931
45103,0.280099303,1.59999931
45105,0.280099303,1.59999931
45180,0.120099314,1.71999931
45182,0.120099314,1.71999931
45183,0.120099314,1.60500014
45184,0.120099314,1.6012001
45185,0.120099314,1.71999931
45186,0.120099314,1.2144
45191,0.0608993135,1.7016
45200,0.0608993135,1.89399934
46796,0.120099314,1.6488
46800,0.120099314,1.71999931
46801,0.120099314,1.6348
46808,0.120099314,1.71999931
46813,0.1201,1.72
46814,0.1201,1.66320014
46842,0.120099314,1.71999931
46845,0.120099314,1.475
46853,0.300099313,1.89999926
47962,0.22810027,1.7080003
48580,0.133100271,1.683
50142,0.188100263,1.46800029
50185,0.188100263,1.46800029
50206,0.188100263,1.46800029
50245,0.188100263,1.46800029
50249,0.188100263,1.64800024
50258,0.133100271,1.52300024
50261,0.133100271,1.52300024
50264,0.133100271,1.52300024
50267,0.133100271,1.72300029
50273,0.133100271,1.72300029
50276,0.188100263,1.66800022
50290,0.22810027,1.7080003
50295,0.133100271,1.93000031
50298,0.188100263,1.80000031
50301,0.133100271,1.52300024
50305,0.300100267,1.60000026
50309,0.132100269,1.80900025
50327,0.133100271,1.93000031
50337,0.22310026,1.70000029
50344,0.133100271,1.52300024
50345,0.22310026,1.70000029
50348,0.22310026,1.70000029
50351,0.0511002652,2.47200036
50356,0.0511002652,2.47200036
50359,0.0511002652,2.47200036
50362,0.0511002652,2.47200036
50368,0.133100271,1.52300024
50370,0.188100263,1.46800029
50374,0.188000262,1.46810031
50392,0.133100271,1.52300024
50393,0.133100271,1.52300024
50395,0.133100271,1.52300024
50406,0.22810027,0.457600057
50409,0.22810027,0.50000006
50412,0.412000269,0.830600083
50416,0.412000269,1.11760008
50420,0.188100263,1.46800029
50434,0.188100263,1.46800029
50440,0.0611002669,0.8394
50444,0.188100263,1.46800029
50446,0.188100263,0.616400063
50454,0.268000275,0.486400038
50460,0.0611002669,2.7434
50464,0.0611002669,2.8202
50471,0.0611002669,2.71200013
50479,0.0871002674,1.97600031
50485,0.22810027,1.7080003
50496,0.22810027,1.7080003
50499,0.22810027,1.7080003
50504,0.188100263,1.46800029
50506,0.228000268,1.78800023
50512,0.308100253,1.7080003
50515,0.188100263,1.78800023
50518,0.308100253,1.7080003
50521,0.308100253,1.84400022
50524,0.188100263,1.78800023
50528,0.308100253,1.60000026
50534,0.188100263,1.46800029
50535,0.188100263,1.78800023
50550,0.308100253,1.7080003
50554,0.308100253,1.7080003
50557,0.308100253,1.7080003
50560,0.188100263,1.85400021
50572,0.188100263,1.85610032
50575,0.188100263,0.6254
50578,0.308100253,1.7080003
50581,0.308100253,1.7080003
50584,0.388100266,1.64400029
50587,0.308100253,1.50000024
50625,0.200100273,1.50000024
50698,0.22810027,2.05600023
50704,0.188100263,1.52800024
50708,0.251100272,1.55100024
50719,0.251100272,1.55100024
50733,0.188100263,1.52800024
50736,0.280100256,1.70000029
50739,0.280100256,1.70000029
50789,0.188100263,1.96000028
50794,0.188100263,1.96000028
50933,0.188100263,1.46800029
50952,0.120100267,2.22000027
50986,0.251100272,1.56400025
50987,0.251100272,0.3805
50998,0.0871002674,2.50000024
51018,0.0871002674,2.7087
51047,0.22810027,1.02800024
51054,0.0871002674,1.70000029
51063,0.22810027,1.02800024
51068,0.133100271,1.52300024
51090,0.148100272,2.22000027
51092,0.148100272,2.22000027
51100,0.148100272,2.22000027
51102,0.148100272,2.22000027
51106,0.133100271,1.52300024
51114,0.22810027,1.62800026
51117,0.148100272,2.22000027
51121,0.22810027,1.62800026
51131,0.148100272,2.22000027
51144,0.133100271,1.52300024
51154,0.120100267,1.72000027
51156,0.148100272,2.22000027
51160,0.148100272,2.22000027
51161,0.148100272,2.22000027
51185,0.133100271,1.52300024
51245,0.251100272,1.45649993
51251,0.133100271,1.52300024
51255,0.188100263,1.46800029
51258,0.188100263,1.85400021
51275,0.188100263,1.96000028
51278,0.188100263,1.96000028
51285,0.188100263,1.46800029
51286,0.188100263,1.96000028
51288,0.188100263,1.96000028
51295,0.0611002669,2.00000024
51296,0.0611002669,2.00000024
51298,0.0611002669,2.00000024
51299,0.0611002669,2.00000024
51322,0.188100263,1.46800029
51324,0.22810027,1.97600031
51325,0.22810027,1.97600031
51335,0.148100272,2.22000027
51343,0.12510027,2.24100018
51347,0.12510027,2.24100018
51352,0.12510027,2.24100018
51366,0.188100263,1.46800029
51367,0.188100263,1.46800029
51368,0.188100263,1.46800029
51369,0.133100271,1.93000031
51392,0.0871002674,1.93900025
51393,0.0611002669,1.96500027
51395,0.0511002652,1.96500027
51396,0.0511002652,1.96500027
51399,0.0611002669,1.93900025
51400,0.0611002669,1.93900025
51433,0.188100263,1.46800029
51457,0.22810027,1.62800026
51458,0.22810027,1.62800026
51480,0.188100263,1.46800029
51510,0.188100263,1.46800029
51637,0.188100263,1.46800029
51638,0.22810027,1.62800026
51640,0.22810027,2.12800026
51651,0.188100263,1.46800029
51657,0.22810027,1.62800026
51668,0.22810027,2.12800026
51673,0.22810027,1.62800026
51690,0.188100263,1.46800029
51723,0.188100263,1.46800029
51731,0.22810027,2.12800026
51739,0.22810027,2.12800026
51779,0.22810027,2.12800026
51786,0.180100262,1.64000022
51831,0.188100263,1.46800029
51853,0.0951002687,2.27600026
52157,0.428000271,1.84800029
52302,0.1881,2.52199984
52355,0.1881,1.646
52502,0.0871,1.854
52531,0.5001,1.976
52542,0.1881,1.468
52545,0.0761,2.076
52570,0.0761,2.236
52578,0.1881,1.468
52591,0.450100273,1.95000029
52614,0.200100273,1.95000029
52653,0.1881,1.468
52658,0.1881,2.2
52710,0.1881,2.2
52779,0.22810027,2.02800035
52789,0.1881,1.646
52812,0.1881,1.468
52833,0.1881,1.646
52845,0.1881,1.468
52875,0.1881,1.468
52878,0.0611,1.831
52887,0.0611,1.81759989
52913,0.1881,1.468
52954,0.188100263,1.46800029
52955,0.1881,2.028
52991,0.1881,1.468
53014,0.1881,2.096
53028,0.1881,1.468
53067,0.188100263,1.46800029
53082,0.1881,1.72
53107,0.1881,1.468
53134,0.1331,1.976
53164,0.1331,1.976
53180,0.1881,1.468
53213,0.1881,1.468
53271,0.0871,1.575
53281,0.1881,1.468
53306,0.1881,1.896
53357,0.188100263,1.46800029
53426,0.213,1.801
53433,0.1881,1.468
53465,0.1881,1.468
53471,0.1881,1.696
53499,0.1881,1.468
53536,0.4001,1.7
53544,0.1881,1.468
53581,0.1331,1.976
53591,0.1881,1.468
53601,0.1331,1.948
53615,0.188100263,1.46800029
53623,0.1331,0.9563
53625,0.1331,1.0174
53627,0.1331,0.765800059
53629,0.1331,0.818600237
53646,0.1331,1.976
53678,0.133100271,2.05700016
53686,0.1881,1.468
53693,0.133100271,2.05700016
53739,0.251100272,1.54700029
53778,0.1331,2.057
53815,0.1881,1.468
53818,0.1881,1.468
53848,0.1881,1.468
53868,0.1881,1.468
53889,0.1881,1.468
53930,0.1881,1.468
53939,0.1881,1.934
53993,0.1881,1.8
54015,0.1881,1.468
54052,0.1881,1.468
54070,0.1881,1.6
54085,0.1881,1.468
54093,0.1881,1.6
54124,0.1881,1.468
54153,0.22810027,1.62800026
54168,0.1881,1.468
54178,0,0
54199,0.3601,1.8
54203,0.1881,1.468
54221,0.3301,1.6
54251,0.1881,1.468
54282,0.180100262,1.65000021
54289,0.188100263,1.46800029
54325,0.1881,1.468
54358,0.1881,1.468
54379,0.3301,1.6
54394,0.1881,1.468
54403,0.330100268,1.60000026
54416,0.2281,1.948
54435,0.1881,1.468
54441,0.1331,1.801
54471,0.1881,1.468
54477,0.3301,1.6
54486,0.3301,1.6
54507,0.1881,1.468
54540,0.1321,2.088
54551,0.1881,1.468
54560,0.1321,1.95
54591,0.1881,1.468
54594,0.1331,1.93
54621,0.1321,1.75
54628,0.1881,1.468
54661,0.1881,1.468
54682,0.0871,2.5
54705,0.1881,1.468
54748,0.188100263,1.46800029
54750,0.100100264,2.41000032
54766,0.188100263,2.02800035
54785,0.100100264,2.41000032
54790,0.1881,1.468
54813,0.100100264,2.41000032
54827,0.1881,1.468
54833,0.100100264,2.41000032
54851,0.100100264,2.41000032
54864,0.188100263,1.46800029
54881,0.1881,1.95
54893,0.1881,1.468
54930,0.1881,1.468
54936,0.100100264,2.41000032
54957,0.1321,1.729
54968,0.188100263,1.46800029
54991,0.1881,1.95
55002,0.188100263,0.2309
55005,0.188100263,0.208500013
55006,0.1881,1.468
55009,0,0
55010,0,0
55013,0,0
55015,0.3301,0.446000129
55017,0.22810027,0.2603
55019,0,0
55020,0.3301,1.41220009
55021,0,0
55023,0.22810027,0.2324
55026,0.400100261,0.4992
55031,0.3301,1.8631
55033,0.22810027,0.2661
55035,0.188100263,0.190700009
55037,0.188100263,0.1985
55039,0.188100263,0.231
55041,0.188100263,0.2341
55043,0.188100263,0.272900015
55055,0.251100272,1.27449989
55058,0.251100272,0.805399954
55062,0.251100272,1.2346
55064,0.251100272,1.33289993
55066,0.251100272,1.3700999
55067,0.251100272,1.04109991
55069,0.251100272,1.2199
55070,0.251100272,1.2081
55071,0.251100272,0.5537
55072,0.251100272,1.3707999
55074,0.188100263,0.2657
55075,0.188100263,0.2318
55077,0.188100263,0.2743
55079,0.188100263,0.2621
55081,0,0
55083,0.188100263,0.351199985
55086,0.1881,1.468
55087,0.188100263,0.371
55088,0.188100263,0.243400007
55091,0.188100263,0.191
55096,0.188100263,0.2176
55097,0,0
55098,0.22810027,0.2406
55099,0.22810027,0.236
55100,0.188000262,1.6973
55103,0.188000262,1.65399992
55105,0.188000262,1.6586
55106,0.0871002674,2.47039986
55109,0.0871002674,2.46299982
55117,0.100100264,2.41000032
55121,0.0871002674,2.42369986
55124,0.1881,1.468
55125,0.188000262,1.66529989
55126,0.3301,1.32180011
55127,0.3301,1.82010007
55128,0.3301,1.56360006
55130,0.188000262,1.7046
55132,0.3301,1.47190011
55133,0.0871002674,2.4229
55134,0.0871002674,2.60000038
55135,0.0871002674,2.60000038
55138,0.0871,2.6
55141,0.188000262,1.70899987
55146,0.3301,1.48
55147,0.133100271,1.4708
55149,0.133100271,1.8058
55151,0.133100271,1.4289999
55155,0.133100271,1.79759991
55181,0.251100272,0.8328
55186,0.251100272,0.8434
55187,0.251100272,0.8515
55188,0.251100272,0.755499959
55189,0.251100272,0.7294
55191,0.251100272,0.6277
