Feature,RF_Importance,Permutation_Loss_Increase,RF_Rank,Permutation_Rank,RF_R2,ResMLP_R2
Ne_edge_avg,0.08340585948559692,0.01714818924665451,2.0,1.0,0.8080483084162947,0.7947239565544334
Ne_edge_avg_avg,0.5175274232029937,0.013064093887805939,1.0,2.0,0.8080483084162947,0.7947239565544334
P_baratron_div_avg,0.04088298521155584,0.009949944913387299,3.0,3.0,0.8080483084162947,0.7947239565544334
P_baratron_div,0.039380818086130816,0.007756218314170837,4.0,4.0,0.8080483084162947,0.7947239565544334
AREA_avg,0.003432837709563678,0.006529524922370911,34.0,5.0,0.8080483084162947,0.7947239565544334
GASmeas_D2_avg,0.007866763212744161,0.005438350141048431,15.0,6.0,0.8080483084162947,0.7947239565544334
AREA,0.0032437266008901134,0.004725031554698944,37.0,7.0,0.8080483084162947,0.7947239565544334
GASmeas_D2,0.007227638543983819,0.0031319856643676758,16.0,8.0,0.8080483084162947,0.7947239565544334
DELTA_TOP_avg,0.004194158401930633,0.002631101757287979,26.0,9.0,0.8080483084162947,0.7947239565544334
Wtot_avg,0.020208111087699546,0.0022649914026260376,6.0,10.0,0.8080483084162947,0.7947239565544334
BETAP_avg,0.003638203193672557,0.0021262094378471375,32.0,11.0,0.8080483084162947,0.7947239565544334
P_baratron_div_diff1,0.006461952024090745,0.002079486846923828,18.0,12.0,0.8080483084162947,0.7947239565544334
EvenN_avg,0.0038080893938296587,0.0018131397664546967,30.0,13.0,0.8080483084162947,0.7947239565544334
OddN_diff2,0.0015435467253313159,0.0016650594770908356,61.0,14.0,0.8080483084162947,0.7947239565544334
PD,0.009393357256838555,0.001653384417295456,12.0,15.0,0.8080483084162947,0.7947239565544334
NEavg_diff2,0.0013432675056260107,0.001495305448770523,67.0,16.0,0.8080483084162947,0.7947239565544334
IPLA_avg,0.003936247218100351,0.001340918242931366,28.0,17.0,0.8080483084162947,0.7947239565544334
Wtot,0.0115387235019396,0.0013013333082199097,10.0,18.0,0.8080483084162947,0.7947239565544334
Ne_core_avg_diff2,0.0011683824392260177,0.0012766160070896149,70.0,19.0,0.8080483084162947,0.7947239565544334
Wth_avg,0.005675149246383298,0.001249123364686966,20.0,20.0,0.8080483084162947,0.7947239565544334
Ne_edge_avg_diff1,0.0017773649297776193,0.0012340135872364044,54.0,21.0,0.8080483084162947,0.7947239565544334
TAU_conf_calc,0.002565179467915994,0.0012182071805000305,44.0,22.0,0.8080483084162947,0.7947239565544334
POHM,0.0034930035546248944,0.00121360644698143,33.0,23.0,0.8080483084162947,0.7947239565544334
DELTA_TOP,0.0030608926014981937,0.001088954508304596,40.0,24.0,0.8080483084162947,0.7947239565544334
Q95_avg,0.0048347070924134984,0.0010682642459869385,22.0,25.0,0.8080483084162947,0.7947239565544334
EvenN,0.005816199540623953,0.0010562650859355927,19.0,26.0,0.8080483084162947,0.7947239565544334
BETAN_avg,0.015828105302243857,0.0010541751980781555,8.0,27.0,0.8080483084162947,0.7947239565544334
PD_diff1,0.0038166315750171546,0.0010385960340499878,29.0,28.0,0.8080483084162947,0.7947239565544334
PD_avg,0.0072133546408366086,0.001033201813697815,17.0,29.0,0.8080483084162947,0.7947239565544334
BETAN,0.024345772468931687,0.0009141825139522552,5.0,30.0,0.8080483084162947,0.7947239565544334
Wth,0.00866968995178438,0.0009018965065479279,14.0,31.0,0.8080483084162947,0.7947239565544334
LI_avg,0.0026899233591170676,0.0008097290992736816,42.0,32.0,0.8080483084162947,0.7947239565544334
POHM_avg,0.0024190023022613496,0.0008056797087192535,46.0,33.0,0.8080483084162947,0.7947239565544334
Ne_core_avg_diff1,0.0028134517477567036,0.0007980912923812866,41.0,34.0,0.8080483084162947,0.7947239565544334
SXRcore_diff2,0.00138459999569611,0.0007443204522132874,65.0,35.0,0.8080483084162947,0.7947239565544334
NBI,0.002516702334226052,0.0007042400538921356,45.0,36.0,0.8080483084162947,0.7947239565544334
BETAP,0.003221456155587224,0.000672757625579834,38.0,37.0,0.8080483084162947,0.7947239565544334
Wth_diff2,0.0012406807527158283,0.0006225705146789551,68.0,38.0,0.8080483084162947,0.7947239565544334
SXRcore,0.0022655064723904592,0.0005828849971294403,48.0,39.0,0.8080483084162947,0.7947239565544334
NBI2_diff2,2.1771511524286045e-06,0.0005756765604019165,77.0,40.0,0.8080483084162947,0.7947239565544334
Q95,0.005039568048067017,0.000574454665184021,21.0,41.0,0.8080483084162947,0.7947239565544334
SXRcore_avg,0.001590718859690715,0.0005668923258781433,60.0,42.0,0.8080483084162947,0.7947239565544334
TAU_conf_diff2,0.0011635886344335295,0.0005149506032466888,72.0,43.0,0.8080483084162947,0.7947239565544334
ECRH_avg,0.00026313898107831147,0.0004928670823574066,74.0,44.0,0.8080483084162947,0.7947239565544334
LI,0.0031772478676418453,0.00047696754336357117,39.0,45.0,0.8080483084162947,0.7947239565544334
IPLA,0.0032638755394091452,0.0004364699125289917,36.0,46.0,0.8080483084162947,0.7947239565544334
DELTA_BOTTOM,0.0042560397905575895,0.0004209466278553009,25.0,47.0,0.8080483084162947,0.7947239565544334
NBI_diff2,0.0014942558862706607,0.00040733814239501953,62.0,48.0,0.8080483084162947,0.7947239565544334
BZERO_diff2,0.001440049258761118,0.000349387526512146,64.0,49.0,0.8080483084162947,0.7947239565544334
TAU_conf_calc_diff1,0.0011604305357542088,0.0003313608467578888,73.0,50.0,0.8080483084162947,0.7947239565544334
NBI2_diff1,7.719579519671143e-06,0.0003062821924686432,76.0,51.0,0.8080483084162947,0.7947239565544334
NBI_avg,0.004773114749725913,0.00030368566513061523,23.0,52.0,0.8080483084162947,0.7947239565544334
EvenN_diff2,0.0014878079254347703,0.0002930872142314911,63.0,53.0,0.8080483084162947,0.7947239565544334
TAU_conf,0.0016782825333391267,0.0002688653767108917,57.0,54.0,0.8080483084162947,0.7947239565544334
Ne_edge_avg_diff2,0.0013665594546084798,0.0002685077488422394,66.0,55.0,0.8080483084162947,0.7947239565544334
