Feature,RF_Importance,Permutation_Loss_Increase,RF_Rank,Permutation_Rank,RF_R2,ResMLP_R2
IPLA_avg,0.008475954908922969,0.024654671549797058,19.0,1.0,0.6348589579758079,0.5556019242855175
Wtot,0.41480000441878073,0.012727051973342896,1.0,2.0,0.6348589579758079,0.5556019242855175
IPLA,0.005311140549468925,0.01046539843082428,32.0,3.0,0.6348589579758079,0.5556019242855175
Wtot_avg,0.05632290344304668,0.009545117616653442,3.0,4.0,0.6348589579758079,0.5556019242855175
P_baratron_div,0.03430188940398091,0.006627708673477173,4.0,5.0,0.6348589579758079,0.5556019242855175
AREA,0.005737968707724594,0.00582084059715271,29.0,6.0,0.6348589579758079,0.5556019242855175
TAU_conf_avg,0.005578181416848828,0.0056920647621154785,30.0,7.0,0.6348589579758079,0.5556019242855175
BETAN_avg,0.005813479721203753,0.005631536245346069,27.0,8.0,0.6348589579758079,0.5556019242855175
POHM_avg,0.011405834933233954,0.005015715956687927,12.0,9.0,0.6348589579758079,0.5556019242855175
GASmeas_D2,0.003256814749241888,0.004471570253372192,50.0,10.0,0.6348589579758079,0.5556019242855175
P_baratron_div_avg,0.01781149367758062,0.004033699631690979,6.0,11.0,0.6348589579758079,0.5556019242855175
ECRH_avg,0.002058100822810992,0.003726646304130554,68.0,12.0,0.6348589579758079,0.5556019242855175
Ne_edge_avg_diff1,0.0033687160718362595,0.003707513213157654,47.0,13.0,0.6348589579758079,0.5556019242855175
BETAN,0.008125311310549967,0.003266960382461548,22.0,14.0,0.6348589579758079,0.5556019242855175
Q95,0.010625466824222987,0.003098905086517334,13.0,15.0,0.6348589579758079,0.5556019242855175
Ne_edge_avg_avg,0.005279215167463035,0.002992406487464905,33.0,16.0,0.6348589579758079,0.5556019242855175
GASmeas_D2_avg,0.0045260069202433,0.0029886960983276367,38.0,17.0,0.6348589579758079,0.5556019242855175
Q95_avg,0.008464192465055474,0.0029419809579849243,20.0,18.0,0.6348589579758079,0.5556019242855175
AREA_avg,0.004945200877677276,0.0029401928186416626,35.0,19.0,0.6348589579758079,0.5556019242855175
BETAP,0.007663716521549928,0.002789720892906189,23.0,20.0,0.6348589579758079,0.5556019242855175
Wth_avg,0.00206260963864815,0.0025866329669952393,67.0,21.0,0.6348589579758079,0.5556019242855175
NBI_avg,0.008483878371504999,0.0025513768196105957,18.0,22.0,0.6348589579758079,0.5556019242855175
BETAP_avg,0.009669913300596978,0.00216519832611084,16.0,23.0,0.6348589579758079,0.5556019242855175
NBI,0.006142872579943549,0.002097487449645996,26.0,24.0,0.6348589579758079,0.5556019242855175
